0.120404 8.641955 -0.000011 -0.000012 
0.095631 8.704061 -0.000011 -0.000012 
0.096104 8.705089 -0.000011 -0.000012 
0.095300 8.572477 -0.000011 -0.000012 
0.095891 8.705831 -0.000011 -0.000012 
0.095957 8.694550 -0.000011 -0.000012 
0.095929 8.697191 -0.000011 -0.000012 
0.095459 8.704374 -0.000011 -0.000012 
0.094726 8.708606 -0.000011 -0.000012 
0.095355 8.706778 -0.000011 -0.000012 
0.095799 8.691643 -0.000011 -0.000012 
0.089776 8.686644 -0.000011 -0.000012 
0.095320 8.696323 -0.000011 -0.000012 
0.095646 8.706693 -0.000011 -0.000012 
0.094824 8.703428 -0.000011 -0.000012 
0.096137 8.706994 -0.000011 -0.000012 
0.091493 8.566062 -0.000011 -0.000012 
0.097098 8.711009 -0.000011 -0.000012 
0.097725 8.695885 -0.000011 -0.000012 
0.095692 8.698505 -0.000011 -0.000012 
